Duration_Seconds,Min_IOPS
6.4300,35142.00
6.4400,35139.50
6.4500,35137.00
6.4600,35134.00
6.4700,35131.50
6.4800,35129.00
6.4900,35126.50
6.5000,35124.50
6.5100,35122.00
6.5200,35119.50
6.5300,35117.00
6.5400,35114.00
6.5500,35111.50
6.5600,35109.00
6.5700,35106.00
6.5800,35103.50
6.5900,35101.50
6.6000,35099.50
6.6100,35097.00
6.6200,35094.00
6.6300,35091.50
6.6400,35089.50
6.6500,35087.00
6.6600,35084.50
6.6700,35082.00
6.6800,35079.50
6.6900,35077.50
6.7000,35075.00
6.7100,35072.50
6.7200,35070.50
6.7300,35068.00
6.7400,35065.50
6.7500,35063.00
6.7600,35060.50
6.7700,35058.00
6.7800,35055.50
6.7900,35053.50
6.8000,35051.50
6.8100,35049.00
6.8200,35046.50
6.8300,35044.50
6.8400,35042.00
6.8500,35039.00
6.8600,35036.50
6.8700,35034.50
6.8800,35032.00
6.8900,35029.50
6.9000,35027.50
6.9100,35025.00
6.9200,35022.50
6.9300,35020.50
6.9400,35018.50
6.9500,35016.00
6.9600,35013.50
6.9700,35011.50
6.9800,35009.00
6.9900,35006.50
7.0000,35004.50
7.0100,35002.00
7.0200,34999.50
7.0300,34997.50
7.0400,34995.50
7.0500,34993.00
7.0600,34990.50
7.0700,34988.50
7.0800,34986.50
7.0900,34984.00
7.1000,34981.50
7.1100,34979.50
7.1200,34977.00
7.1300,34974.50
7.1400,34972.50
7.1500,34970.50
7.1600,34968.00
7.1700,34965.50
7.1800,34963.50
7.1900,34961.50
7.2000,34959.50
7.2100,34957.00
7.2200,34954.50
7.2300,34952.50
7.2400,34950.50
7.2500,34948.00
7.2600,34945.50
7.2700,34943.50
7.2800,34941.50
7.2900,34939.50
7.3000,34937.50
7.3100,34935.00
7.3200,34932.50
7.3300,34930.50
7.3400,34928.50
7.3500,34926.50
7.3600,34924.50
7.3700,34922.50
7.3800,34920.00
7.3900,34917.50
7.4000,34915.50
7.4100,34913.50
7.4200,34911.50
7.4300,34909.50
7.4400,34907.00
7.4500,34904.50
7.4600,34902.50
7.4700,34900.50
7.4800,34898.50
7.4900,34896.50
7.5000,34894.00
7.5100,34891.50
7.5200,34889.50
7.5300,34887.50
7.5400,34885.50
7.5500,34883.50
7.5600,34881.50
7.5700,34879.50
7.5800,34877.00
7.5900,34874.50
7.6000,34872.50
7.6100,34870.50
7.6200,34868.50
7.6300,34866.50
7.6400,34864.50
7.6500,34862.50
7.6600,34860.50
7.6700,34858.50
7.6800,34857.00
7.6900,34855.00
7.7000,34852.50
7.7100,34850.50
7.7200,34848.50
7.7300,34846.50
7.7400,34844.00
7.7500,34842.00
7.7600,34840.50
7.7700,34838.00
7.7800,34835.50
7.7900,34833.50
7.8000,34832.00
7.8100,34830.50
7.8200,34828.50
7.8300,34826.50
7.8400,34824.00
7.8500,34822.00
7.8600,34820.00
7.8700,34817.50
7.8800,34815.50
7.8900,34814.00
7.9000,34812.00
7.9100,34809.50
7.9200,34807.50
7.9300,34805.50
7.9400,34803.50
7.9500,34801.50
7.9600,34799.50
7.9700,34797.50
7.9800,34795.50
7.9900,34793.50
8.0000,34791.50
8.0100,34789.50
8.0200,34787.50
8.0300,34785.50
8.0400,34783.50
8.0500,34781.50
8.0600,34779.50
8.0700,34777.50
8.0800,34775.50
8.0900,34773.50
8.1000,34771.50
8.1100,34769.50
8.1200,34767.50
8.1300,34765.50
8.1400,34763.50
8.1500,34761.50
8.1600,34759.50
8.1700,34757.50
8.1800,34755.50
8.1900,34753.50
8.2000,34751.50
8.2100,34750.00
8.2200,34748.50
8.2300,34746.50
8.2400,34744.50
8.2500,34742.50
8.2600,34740.50
8.2700,34738.50
8.2800,34736.50
